Date,Open,High,Low,Close,Volume,Adj Close
2018-11-28 00:00:00,8.62,10.34,8.62,10.34,570.98,10.34
2018-11-29 00:00:00,11.37,11.37,11.37,11.37,271.88,11.37
2018-11-30 00:00:00,12.51,12.51,12.51,12.51,464.08,12.51
2018-12-03 00:00:00,13.76,13.76,13.76,13.76,956.23,13.76
2018-12-04 00:00:00,15.14,15.14,15.14,15.14,2018.43,15.14
2018-12-05 00:00:00,16.65,16.65,16.65,16.65,4610.77,16.65
2018-12-06 00:00:00,18.32,18.32,18.32,18.32,5141.68,18.32
2018-12-07 00:00:00,20.15,20.15,20.15,20.15,9270.55,20.15
2018-12-10 00:00:00,21.5,22.17,20.65,21.2,467749.62,21.2
2018-12-11 00:00:00,21.05,21.8,20.55,21.39,341679.19,21.39
2018-12-12 00:00:00,21.12,22.81,20.67,21.18,350326.47,21.18
2018-12-13 00:00:00,20.74,23.3,20.33,23.3,339216.91,23.3
2018-12-14 00:00:00,22.88,23.98,21.82,21.9,419863.47,21.9
2018-12-17 00:00:00,21.15,22.36,20.88,22.15,253876.2,22.15
2018-12-18 00:00:00,21.6,21.78,20.82,21.17,216804.77,21.17
2018-12-19 00:00:00,20.87,21.46,19.68,19.75,267023.09,19.75
2018-12-20 00:00:00,19.6,20.98,19.11,20.26,262065.22,20.26
2018-12-21 00:00:00,19.89,22.29,19.71,22.29,313154.12,22.29
2018-12-24 00:00:00,22.0,23.94,21.44,21.53,406757.28,21.53
2018-12-25 00:00:00,20.8,21.24,19.93,21.03,274137.16,21.03
2018-12-26 00:00:00,20.81,22.9,20.63,22.21,347215.75,22.21
2018-12-27 00:00:00,22.35,22.5,20.85,21.0,265519.53,21.0
2018-12-28 00:00:00,21.1,22.99,21.1,21.55,288985.53,21.55
2019-01-02 00:00:00,22.25,23.71,21.65,22.6,379918.12,22.6
2019-01-03 00:00:00,22.03,23.0,20.8,22.9,314402.69,22.9
2019-01-04 00:00:00,22.0,25.19,21.8,25.19,278966.53,25.19
2019-01-07 00:00:00,27.02,27.71,26.71,27.71,190762.8,27.71
2019-01-08 00:00:00,29.0,30.48,26.72,30.48,251985.14,30.48
2019-01-09 00:00:00,33.4,33.53,32.18,33.53,137548.91,33.53
2019-01-10 00:00:00,36.6,36.88,34.97,36.88,266121.53,36.88
2019-01-11 00:00:00,40.57,40.57,39.3,40.57,94231.39,40.57
2019-01-14 00:00:00,44.63,44.63,36.51,36.51,496524.75,36.51
2019-01-15 00:00:00,34.67,35.35,33.1,33.69,381462.84,33.69
2019-01-16 00:00:00,32.67,34.28,32.61,33.35,284782.16,33.35
2019-01-17 00:00:00,33.4,34.12,32.71,32.87,243710.45,32.87
2019-01-18 00:00:00,32.02,32.55,30.61,31.54,280367.28,31.54
2019-01-21 00:00:00,31.34,32.0,30.68,31.4,169759.23,31.4
2019-01-22 00:00:00,31.1,33.58,31.01,32.35,283274.81,32.35
2019-01-23 00:00:00,31.6,35.5,31.4,34.98,378850.31,34.98
2019-01-24 00:00:00,34.1,34.1,31.8,32.11,294286.25,32.11
2019-01-25 00:00:00,32.74,33.8,30.0,30.38,260844.06,30.38
2019-01-28 00:00:00,29.19,29.51,27.8,28.42,199358.84,28.42
2019-01-29 00:00:00,28.21,29.06,27.22,28.96,159087.14,28.96
